t,z,V,Mach,gamma,q_total,T_surface,thickness
4.94,118756,7813.94,26.4818,0.0598318,876850,313.697,0.148976
4.96,118747,7814.04,26.4822,0.0600556,877458,313.756,0.148972
4.98,118737,7814.15,26.4825,0.0602793,878070,313.815,0.148967
5,118728,7814.25,26.4829,0.0605031,878684,313.874,0.148963
5.02,118718,7814.36,26.4832,0.0607269,879300,313.933,0.148959
5.04,118709,7814.47,26.4836,0.0609507,879919,313.992,0.148954
5.06,118699,7814.57,26.484,0.0611744,880541,314.051,0.14895
5.08,118690,7814.68,26.4843,0.0613982,881166,314.11,0.148945
5.1,118680,7814.79,26.4847,0.061622,881793,314.17,0.148941
5.12,118670,7814.9,26.4851,0.0618457,882423,314.229,0.148937
5.14,118661,7815,26.4854,0.0620695,883055,314.288,0.148932
5.16,118651,7815.11,26.4858,0.0622932,883690,314.347,0.148928
5.18,118641,7815.22,26.4862,0.062517,884328,314.407,0.148923
5.2,118631,7815.33,26.4865,0.0627407,884969,314.466,0.148919
5.22,118621,7815.44,26.4869,0.0629645,885612,314.526,0.148915
5.24,118612,7815.55,26.4873,0.0631882,886258,314.585,0.14891
5.26,118602,7815.66,26.4877,0.063412,886906,314.645,0.148906
5.28,118592,7815.77,26.488,0.0636357,887558,314.704,0.148901
5.3,118582,7815.88,26.4884,0.0638594,888212,314.764,0.148897
5.32,118572,7816,26.4888,0.0640832,888868,314.823,0.148892
5.34,118562,7816.11,26.4892,0.0643069,889528,314.883,0.148888
5.36,118552,7816.22,26.4896,0.0645306,890190,314.943,0.148883
5.38,118541,7816.33,26.4899,0.0647543,890855,315.003,0.148879
5.4,118531,7816.45,26.4903,0.064978,891523,315.063,0.148875
5.42,118521,7816.56,26.4907,0.0652017,892193,315.122,0.14887
5.44,118511,7816.68,26.4911,0.0654254,892866,315.182,0.148866
5.46,118501,7816.79,26.4915,0.0656492,893542,315.242,0.148861
5.48,118490,7816.9,26.4919,0.0658728,894220,315.302,0.148857
5.5,118480,7817.02,26.4923,0.0660965,894902,315.362,0.148852
5.52,118470,7817.14,26.4927,0.0663202,895586,315.423,0.148848
5.54,118459,7817.25,26.4931,0.0665439,896273,315.483,0.148843
5.56,118449,7817.37,26.4934,0.0667676,896962,315.543,0.148839
5.58,118438,7817.49,26.4938,0.0669913,897655,315.603,0.148834
5.6,118428,7817.6,26.4942,0.067215,898350,315.664,0.14883
5.62,118417,7817.72,26.4946,0.0674386,899048,315.724,0.148825
5.64,118407,7817.84,26.495,0.0676623,899749,315.784,0.148821
5.66,118396,7817.96,26.4954,0.067886,900453,315.845,0.148816
5.68,118386,7818.08,26.4958,0.0681096,901159,315.905,0.148812
5.7,118375,7818.2,26.4962,0.0683333,901868,315.966,0.148807
5.72,118364,7818.31,26.4967,0.068557,902581,316.027,0.148803
5.74,118353,7818.43,26.4971,0.0687806,903295,316.087,0.148798
5.76,118343,7818.56,26.4975,0.0690043,904013,316.148,0.148794
5.78,118332,7818.68,26.4979,0.0692279,904734,316.209,0.148789
5.8,118321,7818.8,26.4983,0.0694515,905457,316.27,0.148785
5.82,118310,7818.92,26.4987,0.0696752,906184,316.33,0.14878
5.84,118299,7819.04,26.4991,0.0698988,906913,316.391,0.148776
5.86,118288,7819.16,26.4995,0.0701224,907645,316.452,0.148771
5.88,118277,7819.29,26.4999,0.0703461,908380,316.513,0.148767
5.9,118266,7819.41,26.5004,0.0705697,909117,316.574,0.148762
5.92,118255,7819.53,26.5008,0.0707933,909858,316.636,0.148757
5.94,118244,7819.66,26.5012,0.0710169,910602,316.697,0.148753
5.96,118233,7819.78,26.5016,0.0712405,911348,316.758,0.148748
5.98,118222,7819.91,26.502,0.0714641,912097,316.819,0.148744
6,118211,7820.03,26.5025,0.0716877,912850,316.881,0.148739
6.02,118199,7820.16,26.5029,0.0719113,913605,316.942,0.148735
6.04,118188,7820.28,26.5033,0.0721349,914363,317.003,0.14873
6.06,118177,7820.41,26.5038,0.0723585,915124,317.065,0.148726
6.08,118165,7820.54,26.5042,0.0725821,915888,317.126,0.148721
6.1,118154,7820.66,26.5046,0.0728057,916655,317.188,0.148716
6.12,118143,7820.79,26.505,0.0730293,917425,317.25,0.148712
6.14,118131,7820.92,26.5055,0.0732528,918197,317.311,0.148707
6.16,118120,7821.05,26.5059,0.0734764,918973,317.373,0.148703
6.18,118108,7821.18,26.5063,0.0737,919752,317.435,0.148698
6.2,118097,7821.3,26.5068,0.0739235,920533,317.497,0.148693
6.22,118085,7821.43,26.5072,0.0741471,921318,317.559,0.148689
6.24,118073,7821.56,26.5077,0.0743706,922106,317.621,0.148684
6.26,118062,7821.69,26.5081,0.0745942,922896,317.683,0.14868
6.28,118050,7821.82,26.5085,0.0748177,923690,317.745,0.148675
6.3,118038,7821.96,26.509,0.0750413,924487,317.807,0.14867
6.32,118027,7822.09,26.5094,0.0752648,925286,317.869,0.148666
6.34,118015,7822.22,26.5099,0.0754884,926089,317.931,0.148661
6.36,118003,7822.35,26.5103,0.0757119,926894,317.994,0.148657
6.38,117991,7822.48,26.5108,0.0759354,927703,318.056,0.148652
6.4,117979,7822.62,26.5112,0.0761589,928515,318.119,0.148647
