t,z,V,Mach,alpha,q_total,T_surface,T_bulk,thickness,TPS_failed
0.99,119946,7800.22,26.4353,0.00760922,814324,305.083,300,0.0797969,0
1,119945,7800.22,26.4353,0.00762133,814358,305.134,300,0.0797949,0
1.01,119945,7800.22,26.4353,0.00763344,814392,305.185,300,0.0797929,0
1.02,119944,7800.22,26.4353,0.00764556,814426,305.236,300,0.0797908,0
1.03,119943,7800.22,26.4353,0.00765767,814460,305.287,300,0.0797888,0
1.04,119943,7800.22,26.4353,0.00766978,814494,305.338,300,0.0797867,0
1.05,119942,7800.22,26.4353,0.00768189,814528,305.389,300,0.0797847,0
1.06,119942,7800.22,26.4353,0.007694,814562,305.44,300,0.0797827,0
1.07,119941,7800.22,26.4353,0.00770611,814596,305.491,300,0.0797806,0
1.08,119940,7800.22,26.4353,0.00771823,814631,305.542,300,0.0797786,0
1.09,119940,7800.22,26.4353,0.00773034,814665,305.593,300,0.0797766,0
1.1,119939,7800.22,26.4353,0.00774245,814699,305.644,300,0.0797745,0
1.11,119939,7800.23,26.4353,0.00775456,814734,305.696,300,0.0797725,0
1.12,119938,7800.23,26.4353,0.00776667,814768,305.747,300,0.0797705,0
1.13,119937,7800.23,26.4354,0.00777878,814803,305.798,300,0.0797684,0
1.14,119937,7800.23,26.4354,0.0077909,814837,305.849,300,0.0797664,0
1.15,119936,7800.23,26.4354,0.00780301,814872,305.9,300,0.0797644,0
1.16,119936,7800.23,26.4354,0.00781512,814907,305.951,300,0.0797623,0
1.17,119935,7800.23,26.4354,0.00782723,814942,306.002,300,0.0797603,0
1.18,119934,7800.23,26.4354,0.00783934,814976,306.053,300,0.0797582,0
1.19,119934,7800.23,26.4354,0.00785145,815011,306.104,300,0.0797562,0
1.2,119933,7800.23,26.4354,0.00786357,815046,306.155,300,0.0797542,0
1.21,119933,7800.23,26.4354,0.00787568,815081,306.206,300,0.0797521,0
1.22,119932,7800.23,26.4354,0.00788779,815116,306.257,300,0.0797501,0
1.23,119931,7800.23,26.4354,0.0078999,815151,306.308,300,0.0797481,0
1.24,119931,7800.23,26.4354,0.00791201,815186,306.359,300,0.079746,0
1.25,119930,7800.23,26.4354,0.00792412,815221,306.41,300,0.079744,0
1.26,119930,7800.24,26.4354,0.00793624,815257,306.461,300,0.079742,0
1.27,119929,7800.24,26.4354,0.00794835,815292,306.513,300,0.0797399,0
1.28,119928,7800.24,26.4354,0.00796046,815327,306.564,300,0.0797379,0
1.29,119928,7800.24,26.4354,0.00797257,815363,306.615,300,0.0797358,0
1.3,119927,7800.24,26.4354,0.00798468,815398,306.666,300,0.0797338,0
1.31,119926,7800.24,26.4354,0.00799679,815434,306.717,300,0.0797318,0
1.32,119926,7800.24,26.4354,0.00800891,815469,306.768,300,0.0797297,0
1.33,119925,7800.24,26.4354,0.00802102,815505,306.819,300,0.0797277,0
1.34,119925,7800.24,26.4354,0.00803313,815540,306.87,300,0.0797257,0
1.35,119924,7800.24,26.4354,0.00804524,815576,306.921,300,0.0797236,0
1.36,119923,7800.24,26.4354,0.00805735,815612,306.973,300,0.0797216,0
1.37,119923,7800.24,26.4354,0.00806946,815648,307.024,300,0.0797195,0
1.38,119922,7800.24,26.4354,0.00808158,815683,307.075,300,0.0797175,0
1.39,119921,7800.24,26.4354,0.00809369,815719,307.126,300,0.0797155,0
1.4,119921,7800.24,26.4354,0.0081058,815755,307.177,300,0.0797134,0
1.41,119920,7800.25,26.4354,0.00811791,815791,307.228,300,0.0797114,0
1.42,119919,7800.25,26.4354,0.00813002,815827,307.279,300,0.0797094,0
1.43,119919,7800.25,26.4354,0.00814213,815864,307.33,300,0.0797073,0
1.44,119918,7800.25,26.4354,0.00815425,815900,307.382,300,0.0797053,0
1.45,119918,7800.25,26.4354,0.00816636,815936,307.433,300,0.0797032,0
1.46,119917,7800.25,26.4354,0.00817847,815972,307.484,300,0.0797012,0
1.47,119916,7800.25,26.4354,0.00819058,816009,307.535,300,0.0796992,0
